iter	Passed	Remaining
640	1104	618
641	1106	617
642	1112	617
643	1114	616
644	1115	614
645	1117	612
646	1118	610
647	1119	608
648	1121	606
649	1122	604
650	1124	602
651	1125	600
652	1127	598
653	1128	596
654	1129	594
655	1130	592
656	1132	591
657	1134	589
658	1136	588
659	1138	586
660	1139	584
661	1141	582
662	1142	580
663	1144	579
664	1146	577
665	1148	575
666	1149	574
667	1151	572
668	1153	570
669	1154	568
670	1156	566
671	1157	565
672	1160	563
673	1161	561
674	1163	560
675	1164	558
676	1166	556
677	1167	554
678	1169	552
679	1170	551
680	1172	549
681	1173	547
682	1176	545
683	1177	544
684	1178	542
685	1180	540
686	1182	538
687	1183	536
688	1184	534
689	1186	533
690	1189	531
691	1190	530
692	1192	528
693	1193	526
694	1195	524
695	1197	522
696	1198	521
697	1199	519
698	1201	517
699	1204	516
700	1206	514
701	1208	513
702	1210	511
703	1212	509
704	1214	508
705	1216	506
706	1217	504
707	1219	502
708	1221	501
709	1222	499
710	1223	497
711	1225	495
712	1227	493
713	1228	492
714	1230	490
715	1231	488
716	1233	487
717	1236	485
718	1237	483
719	1239	482
720	1240	480
721	1242	478
722	1243	476
723	1244	474
724	1245	472
725	1246	470
726	1247	468
727	1248	466
728	1249	464
729	1250	462
730	1251	460
731	1252	458
732	1253	456
733	1255	454
734	1256	453
735	1257	451
736	1258	449
737	1260	447
738	1261	445
739	1264	444
740	1265	442
741	1266	440
742	1268	438
743	1269	436
744	1271	435
745	1272	433
746	1273	431
747	1276	429
748	1278	428
749	1279	426
750	1281	424
751	1283	423
752	1285	421
753	1287	419
754	1288	418
755	1290	416
756	1292	414
757	1293	413
758	1296	411
759	1298	409
760	1299	408
761	1300	406
762	1302	404
763	1303	402
764	1305	401
765	1307	399
766	1310	398
767	1313	396
768	1315	395
769	1317	393
770	1319	391
771	1321	390
772	1322	388
773	1323	386
774	1325	384
775	1326	382
776	1328	381
777	1329	379
778	1330	377
779	1333	376
780	1335	374
781	1337	372
782	1339	371
783	1341	369
784	1343	367
785	1344	366
786	1345	364
787	1347	362
788	1348	360
789	1350	358
790	1351	357
791	1354	355
792	1356	353
793	1357	352
794	1358	350
795	1359	348
796	1361	346
797	1363	345
798	1364	343
799	1366	341
800	1367	339
801	1369	338
802	1371	336
803	1372	334
804	1374	332
805	1375	331
806	1376	329
807	1378	327
808	1380	325
809	1381	324
810	1383	322
811	1384	320
812	1386	318
813	1387	316
814	1388	315
815	1389	313
816	1390	311
817	1391	309
818	1393	307
819	1394	306
820	1395	304
821	1396	302
822	1397	300
823	1399	298
824	1400	297
825	1401	295
826	1403	293
827	1404	291
828	1405	289
829	1406	288
830	1408	286
831	1409	284
832	1411	283
833	1413	281
834	1415	279
835	1416	277
836	1417	276
837	1419	274
838	1420	272
839	1423	271
840	1424	269
841	1426	267
842	1428	266
843	1430	264
844	1431	262
845	1432	260
846	1434	259
847	1437	257
848	1439	256
849	1441	254
850	1444	252
851	1446	251
852	1448	249
853	1449	247
854	1451	246
855	1452	244
856	1453	242
857	1454	240
858	1456	239
859	1457	237
860	1458	235
861	1459	233
862	1461	231
863	1462	230
864	1463	228
865	1465	226
866	1466	224
867	1467	223
868	1470	221
869	1472	220
870	1474	218
871	1475	216
872	1476	214
873	1477	213
874	1479	211
875	1481	209
876	1483	208
877	1484	206
878	1486	204
879	1488	202
880	1489	201
881	1490	199
882	1491	197
883	1492	195
884	1494	194
885	1496	192
886	1497	190
887	1499	189
888	1500	187
889	1502	185
890	1503	183
891	1505	182
892	1506	180
893	1507	178
894	1509	177
895	1511	175
896	1513	173
897	1514	172
898	1516	170
899	1518	168
900	1519	167
901	1521	165
902	1523	163
903	1525	162
904	1526	160
905	1529	158
906	1531	157
907	1532	155
908	1533	153
909	1534	151
910	1535	150
911	1536	148
912	1537	146
913	1538	144
914	1539	143
915	1540	141
916	1541	139
917	1542	137
918	1543	136
919	1544	134
920	1546	132
921	1547	130
922	1548	129
923	1549	127
924	1550	125
925	1551	123
926	1553	122
927	1555	120
928	1556	118
929	1558	117
930	1559	115
931	1562	114
932	1564	112
933	1566	110
934	1568	109
935	1570	107
936	1571	105
937	1573	103
938	1574	102
939	1577	100
940	1578	98
941	1579	97
942	1580	95
943	1582	93
944	1583	92
945	1584	90
946	1586	88
947	1588	87
948	1590	85
949	1591	83
950	1592	82
951	1593	80
952	1594	78
953	1595	76
954	1597	75
955	1600	73
956	1601	71
957	1602	70
958	1604	68
959	1605	66
960	1607	65
961	1609	63
962	1611	61
963	1613	60
964	1614	58
965	1616	56
966	1617	55
967	1619	53
968	1620	51
969	1621	50
970	1623	48
971	1624	46
972	1625	45
973	1626	43
974	1628	41
975	1629	40
976	1630	38
977	1631	36
978	1632	35
979	1633	33
980	1634	31
981	1635	29
982	1636	28
983	1637	26
984	1639	24
985	1640	23
986	1642	21
987	1644	19
988	1645	18
989	1646	16
990	1648	14
991	1650	13
992	1651	11
993	1653	9
994	1656	8
995	1658	6
996	1659	4
997	1660	3
998	1663	1
999	1664	0
